date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-30 20:39:30,Uber,,18,46,230,"We're teaming up with @Ro to make their free COVID-19 telehealth assessment available to all independent workers. Whether you work w/ @Uber, @UberEats, @Lyft, @DoorDash, @Postmates or others, we encourage you to take advantage of this resource to help you stay safe and healthy.",,@ro @Uber @UberEats @lyft @DoorDash @Postmates,,1255959989178396680,https://twitter.com/Uber/status/1255959989178396680
2020-04-23 12:09:55,Uber,,15,51,72,"While most can shelter at home safely, some can't. That’s why we’re committing to provide 50,000 rides across 16 countries to ensure survivors of domestic violence have access to local shelters and other safe spaces. Learn more → https://ubr.to/domesticviolence",,,,1253295033232396288,https://twitter.com/Uber/status/1253295033232396288
2020-04-22 16:57:44,Uber,,9,21,78,"COVID-19 has disrupted existing transport options for many, yet some still must travel to receive care for chronic conditions. @UberHealth is working with partners, like digital health coaching company @Pack_Health, to help them reach their treatment centers.",,@uberhealth @Pack_Health,,1253005075783413760,https://twitter.com/Uber/status/1253005075783413760
2020-04-17 22:57:57,Uber,,30,21,79,"While you’re not riding with us, we’re delivering on our pledge of 10 million free rides and deliveries of food for people in need around the world. Learn more → http://uber.com/coronavirus #MoveWhatMatters",,,#MoveWhatMatters,1251283787360550912,https://twitter.com/Uber/status/1251283787360550912
2020-04-02 21:55:18,Uber,,35,50,237,We’re proud to partner with @NYCMayor and donate $1 million in rides and meals to support our healthcare workers and first responders on the frontlines of COVID-19 https://www.nydailynews.com/coronavirus/ny-coronavirus-uber-free-rides-food-health-care-workers-20200402-jgu5xqgslrbydlaedfk74a5pti-story.html #MoveWhatMatters,,@NYCMayor,#MoveWhatMatters,1245832203654717442,https://twitter.com/Uber/status/1245832203654717442
2020-03-31 16:55:00,Uber,,601,719,4887,"Stay home if you can. And with drivers, delivery people, and restaurants, we’ll help #MoveWhatMatters: 10 million free rides and deliveries of food for frontline healthcare workers, seniors, and people in need. Learn more → http://uber.com/coronavirus",,,#MoveWhatMatters,1245031853511208961,https://twitter.com/Uber/status/1245031853511208961
2020-03-25 21:41:45,Uber,,61,30,121,We’re proud to partner with America's largest healthcare union @1199SEIU to provide free meals and discounted rides to the brave healthcare workers on the frontlines of COVID-19.,,@1199SEIU,,1242929690865618944,https://twitter.com/Uber/status/1242929690865618944
2020-03-20 20:43:12,Uber,,71,41,115,"We can all help flatten the curve by staying home. If you must travel, follow these tips to help your community stay healthy and keep drivers safe. Share to let your friends and families know. Learn more → http://uber.com/coronavirus",,,,1241103017853595648,https://twitter.com/Uber/status/1241103017853595648
2020-03-17 17:43:31,Uber,,36,26,68,"We want to help ensure the safety of everyone in our cities while being available for essential travel needs. Because of this, we are reminding riders, with in-app messages, to travel only when necessary and take steps to protect themselves and their drivers.",,,,1239970636446846977,https://twitter.com/Uber/status/1239970636446846977
2020-03-12 02:46:23,Uber,,381,60,198,Safety is always our priority. We are actively monitoring the Coronavirus situation and are taking steps to help keep our communities safe in all the cities that we serve. Learn more → http://uber.com/coronavirus,,,,1237932925615628288,https://twitter.com/Uber/status/1237932925615628288
2020-03-09 18:48:57,Uber,,12,3,15,"With our 24/7 support team, we’re always a tap, click or call away. It’s just one of the ways we’re working to make ridesharing safer. Learn more at http://uber.com/safety.",,,,1237087999395008512,https://twitter.com/Uber/status/1237087999395008512
2020-03-04 17:52:08,Uber,,17,11,53,Verify Your Ride with PIN helps you get in the right car by providing users with a unique 4-digit PIN to start the ride. The safety feature is now being rolled out in: Australia Brazil Canada France Mexico UK And many more countries across the ,,,,1235261761374367744,https://twitter.com/Uber/status/1235261761374367744
2020-03-02 17:06:27,Uber,,9,9,33,"Now with RideCheck, we can help detect if your trip has an unexpected stop and provide tools to get help. It’s just one of the ways we’re helping keep you safe. Learn more at http://uber.com/safety. Available in the US and rolling out to cities globally.",,,,1234525488846163969,https://twitter.com/Uber/status/1234525488846163969
2020-02-28 16:47:02,Uber,,14,11,43,"RideCheck, a new safety feature that uses sensors and GPS data to help detect if a trip goes unusually off-course is being rolled out in: Australia Canada Mexico New Zealand As well as many other countries globally ",,,,1233433440642650113,https://twitter.com/Uber/status/1233433440642650113
2020-02-24 20:12:52,Uber,,11,14,37,We put an Emergency Button in our app that quickly connects both riders and drivers to emergency assistance if you need urgent help. It’s just one of the ways we’re working to make ridesharing safer. Learn more → http://uber.com/safety.,,,,1232035686670356483,https://twitter.com/Uber/status/1232035686670356483
2020-02-19 21:30:07,Uber,,24,9,41,"On-trip reporting is now live in the US, so if you ever feel unsafe while on a trip, you can immediately and discreetly report it to our safety team. Learn more → http://ubr.to/on-trip-reporting",,,,1230243188084006914,https://twitter.com/Uber/status/1230243188084006914
2020-02-18 17:07:50,Uber,,29,11,33,"When you ride with Uber, all drivers are background checked before their first ride and screened on an ongoing basis. It’s just one of the ways we’re helping keep you safe. Learn more at http://uber.com/safety. Screening process differs by country.",,,,1229814793776828422,https://twitter.com/Uber/status/1229814793776828422
2020-02-02 17:01:34,Uber,,11,10,52,"The ultimate touchdown is getting there safely. Remember to plan your pre and post-game travel by calling a friend, requesting a ride or taking public transport. If you drink, don’t drive.",,,,1224015011116351491,https://twitter.com/Uber/status/1224015011116351491
2020-01-13 17:03:29,Uber,,13,46,197,"Today we’re releasing a new bike trip data tool that shows where and when cyclists are most active in our cities to help establish safer and better bike infrastructure. The data is available for SF, DC and Paris, with more cities coming in the future.",,,,1216767736354766849,https://twitter.com/Uber/status/1216767736354766849
2020-01-08 18:01:41,Uber,,95,81,514,We’re launching a new safety feature in the &amp; to help you get in the right ride. Here's how it works: The rider receives a unique 4 digit PIN for their ride in the app Rider shares PIN with driver The trip only begins in the app once the driver enters the right PIN,,,,1214970443666378752,https://twitter.com/Uber/status/1214970443666378752
